Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
"January 3, 202403:44[23]",F9B5B1082‑1,"Vandenberg,SLC‑4E",Starlink:Group 7-9(22 satellites),"~16,800 kg (37,000 lb)",LEO
"Launch of 22 Starlink v2mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,
"January 3, 202423:04[24]",F9B5B1076‑10,"Cape Canaveral,SLC‑40",Ovzon-3,"1,800 kg (4,000 lb)",GTO
"Broadband internet provider satellite.[25]First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite withRoll Out Solar Arraythat was deployed on January 10, 2024.[26][27]",,,,,
"January 7, 202422:35[28]",F9B5B1067‑16,"Cape Canaveral,SLC‑40",Starlink:Group 6-35(23satellites),"~17,100 kg (37,700 lb)",LEO
"Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[29]",,,,,
"January 14, 202408:59[30]",F9B5B1061‑18,"Vandenberg,SLC‑4E",Starlink:Group 7-10(22satellites),"~16,700 kg (36,800 lb)",LEO
Launch of 22 Starlink v2mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,,,,,
"January 15, 202401:52[31]",F9B5B1073‑12,"Cape Canaveral,SLC‑40",Starlink:Group 6-37(23satellites),"~17,100 kg (37,700 lb)",LEO
"Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[32]Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[33]",,,,,
"January 18, 202421:49[34]",F9B5B1080‑5,"Kennedy,LC‑39A",Ax-3(Crew Dragon C212-3Freedom),"~13,000 kg (29,000 lb)",LEO(ISS)
"Axiom contracted for three additional private crewed missions in June 2021.[35][36][37]The crew consisted of AmericanMichael López-Alegría, Italian astronautWalter Villadei,ESASwedish Project astronautMarcus Wandtand Turkish astronautAlper Gezeravcı.",,,,,
"January 24, 202400:35[38]",F9B5B1063‑16,"Vandenberg,SLC‑4E",Starlink:Group 7-11(22satellites),"~16,700 kg (36,800 lb)",LEO
Launch of 22 Starlink v2mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,
"January 29, 202401:10[39]",F9B5B1062‑18,"Kennedy,LC‑39A",Starlink:Group 6-38(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,,,,,
"January 29, 202405:57[40]",F9B5B1075‑9,"Vandenberg,SLC‑4E",Starlink:Group 7-12(22satellites),"~16,700 kg (36,800 lb)",LEO
"Launch of 22 Starlink v2mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.",,,,,
"January 30, 202417:07[41]",F9B5B1077‑10,"Cape Canaveral,SLC‑40","CRS NG-20 (S.S. Patricia ""Patty"" Hilliard Robertson)","3,726 kg (8,214 lb)",LEO(ISS)
"First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42]Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43]UnmannedEnhanced Cygnuscargo spacecraft named in honor ofPatricia “Patty” Hilliard Robertson.",,,,,
"February 8, 202406:33[44]",F9B5B1081‑4,"Cape Canaveral,SLC‑40",PACE,"1,694 kg (3,735 lb)",SSO
"This was a mission to launch thePlankton, Aerosol, Cloud, ocean Ecosystem(PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has theOcean Color Imagerintended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]",,,,,
"February 10, 202400:34[46]",F9B5B1071‑14,"Vandenberg,SLC‑4E",Starlink:Group 7-13(22satellites),"~16,700 kg (36,800 lb)",LEO
Launch of 22 Starlink v2mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,
"February 14, 202422:30[47]",F9B5B1078‑7,"Cape Canaveral,SLC‑40",USSF-124 (6satellites),Unknown,LEO
Launch included two HBTSS and fourSDATranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48]Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,,,,,
"February 15, 202406:05[49]",F9B5B1060‑18,"Kennedy,LC‑39A",IM-1Nova-COdysseuslander,"1,931 kg (4,257 lb)",TLI
"Second mission under NASA's Commercial Lunar Payload Services (CLPS) program and the first successful lunar landing by a private American company. The lander delivered five payloads with a combined mass of up to 100 kg (LRA, NDL, LN-1, SCALPSS, and ROLSES), along with a deployable imaging system, EagleCam, designed to capture descent and surface operations. The spacecraft transmitted data from the lunar surface for approximately two weeks.[50][51][52]The LC-39A pad'stransporter erectorwas modified to fuel cryogenicliquid oxygenandliquid methaneinto the payload before liftoff.[53]",,,,,
"February 15, 202421:34[54]",F9B5B1082‑2,"Vandenberg,SLC‑4E",Starlink:Group 7-14(22satellites),"~16,700 kg (36,800 lb)",LEO
"Launch of 22 Starlink v2mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[55]",,,,,
"February 20, 202420:11[56]",F9B5B1067‑17,"Cape Canaveral,SLC‑40",Telkomsat HTS 113BT,"4,000 kg (8,800 lb)",GTO
Indonesiansatellite to provide more capacity over Indonesia.[57]300th successful Falcon 9 mission.,,,,,
"February 23, 202404:11[58]",F9B5B1061‑19,"Vandenberg,SLC‑4E",Starlink:Group 7-15(22satellites),"~16,700 kg (36,800 lb)",LEO
"Launch of 22 Starlink v2mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassedSpace Shuttle Main Engineno. 2019's record of 19 flights.[59]",,,,,
"February 25, 202422:06[60]",F9B5B1069‑13,"Cape Canaveral,SLC‑40",Starlink:Group 6-39(24satellites),"~17,500 kg (38,600 lb)",LEO
"Launch of 24 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[61]",,,,,
"February 29, 202415:30[62]",F9B5B1076‑11,"Cape Canaveral,SLC‑40",Starlink:Group 6-40(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"March 4, 202403:53[63]",F9B5B1083‑1,"Kennedy,LC‑39A",Crew-8(Crew Dragon C206-5Endeavour),"~13,000 kg (29,000 lb)",LEO(ISS)
"After first sixCrew Dragonlaunches of NASAUSCVaward, a further three missions for SpaceX were announced on December 3, 2021. These launches carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency. SpaceX flew its 50th astronaut on this Crew Dragon launch.[64]",,,,,
"March 4, 202422:05[65]",F9B5B1081‑5,"Vandenberg,SLC‑4E",Transporter-10(53 payload smallsat rideshare),Unknown[l],SSO
"Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[66][67]Third time a second stage featured Falcon medium coast mission-extension kit.",,,,,
"March 4, 202423:56[68]",F9B5B1073‑13,"Cape Canaveral,SLC‑40",Starlink:Group 6-41(23satellites),"~17,100 kg (37,700 lb)",LEO
"Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between theUSSF-52(Boeing X-37BOTV-7) andStarlinkGroup 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment ofTransporter-10:(53 payloads SmallSat Rideshare).[69]It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.",,,,,
"March 10, 202423:05[70]",F9B5B1077‑11,"Cape Canaveral,SLC‑40",Starlink:Group 6-43(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"March 11, 202404:09[71]",F9B5B1063‑17,"Vandenberg,SLC‑4E",Starlink:Group 7-17(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2mini satellites are launched on a flight from Vandenberg.,,,,,
"March 16, 202400:21[72]",F9B5B1062‑19,"Kennedy,LC‑39A",Starlink:Group 6-44(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,,,,,
"March 19, 202402:28[73]",F9B5B1075‑10,"Vandenberg,SLC‑4E",Starlink:Group 7-16(20satellites) + 2Starshieldsatellites,"~16,300 kg (35,900 lb)(Starlink)",LEO
Launch of 20 Starlink v2mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and twoSpaceX Starshieldsatellites as rideshare.[74][75],,,,,
"March 21, 202420:55[76]",F9B5B1080‑6,"Cape Canaveral,SLC‑40",SpaceX CRS-30(Dragon C209-4),"2,721 kg (5,999 lb)",LEO(ISS)
"Six additionalCRS-2missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[77]First launch of Dragon 2 from SLC-40.",,,,,
"March 24, 202403:09[78]",F9B5B1060‑19,"Kennedy,LC‑39A",Starlink:Group 6-42(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,
"March 25, 202423:42[79]",F9B5B1078‑8,"Cape Canaveral,SLC‑40",Starlink:Group 6-46(23satellites),"~17,100 kg (37,700 lb)",LEO
"Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[80]",,,,,
"March 30, 202421:52[81]",F9B5B1076‑12,"Kennedy,LC‑39A",Eutelsat 36D,"5,000 kg (11,000 lb)",GTO
Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,,,,,
"March 31, 202401:30[82]",F9B5B1067‑18,"Cape Canaveral,SLC‑40",Starlink:Group 6-45(23satellites),"~17,100 kg (37,700 lb)",LEO
Launch of 23 Starlink v2mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,,,,,
"April 2, 202402:30[83]",F9B5B1071‑15,"Vandenberg,SLC‑4E",Starlink:Group 7-18(22satellites),"~16,700 kg (36,800 lb)",LEO
Launch of 22 Starlink v2mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,
